CustomerID	Name	Email	Gender	Age	City	MaritalStatus	NumChildren	JoinDate
CUST10000	Onkar Bhargava	pkeer@yahoo.com	Male	54	Delhi	Divorced	0	22-02-2021
CUST10001	Divit Kohli	mkalita@sarin.com	Female	48	Kolkata	Married	0	06-12-2023
CUST10002	Kiara Behl	apteanay@hotmail.com	Male	75	Kolkata	Widowed	2	23-08-2023
CUST10003	Vaibhav Sankar	bseshadri@choudhry.info	Male	62	Pune	Divorced	2	17-11-2022
CUST10004	Shray Dâ€™Alia	bdhillon@toor-mall.com	Male	55	Delhi	Divorced	0	04-12-2022
CUST10005	Fateh Sharaf	qkulkarni@gmail.com	Male	59	Jaipur	Single	3	13-05-2021
CUST10006	Khushi Wadhwa	craja@yahoo.com	Female	61	Hyderabad	Widowed	2	12-11-2021
CUST10007	Zeeshan Salvi	ira51@saini-kumar.com	Not Disclosed	32	Pune	Widowed	1	10-08-2021
CUST10008	Elakshi Trivedi	ayesha07@gmail.com	Female	32	Hyderabad	Widowed	4	20-11-2023
CUST10009	Neelofar Chada	abramsolanki@madan.com	Male	44	Jaipur	Single	0	20-11-2021
CUST10010	Kashvi Goda	nirvi89@hotmail.com	Not Disclosed	73	Ahmedabad	Single	2	18-04-2022
CUST10011	Vardaniya Varty	aaryahibala@virk-gopal.org	Not Disclosed	63	Jaipur	Widowed	1	06-08-2020
CUST10012	Dishani Jhaveri	zeeshan50@hotmail.com	Not Disclosed	30	Ahmedabad	Divorced	1	07-12-2022
CUST10013	Amira Rama	myrachakrabarti@master.com	Female	72	Jaipur	Widowed	1	15-11-2022
CUST10014	Arhaan Trivedi	vigadvik@amble-shroff.com	Male	48	Hyderabad	Widowed	1	21-12-2023
CUST10015	Faiyaz Sur	riaan12@datta.com	Male	41	Jaipur	Divorced	0	20-08-2021
CUST10016	Neelofar Sawhney	usarna@yahoo.com	Not Disclosed	50	Delhi	Married	1	15-05-2023
CUST10017	Anay Dugal	aaina34@gmail.com	Female	41	Pune	Single	1	03-08-2022
CUST10018	Mahika Kalita	advikissac@badami.com	Female	63	Lucknow	Widowed	2	26-08-2021
CUST10019	Inaaya  Thaman	hchoudhury@aurora.org	Male	50	Hyderabad	Single	2	21-06-2022
CUST10020	Nirvi Raval	shanrohan@gmail.com	Not Disclosed	73	Jaipur	Married	1	29-12-2023
CUST10021	Ryan Banik	rohan26@date.net	Female	72	Lucknow	Divorced	1	23-06-2021
CUST10022	Kiara Tank	xchada@rastogi.biz	Female	60	Jaipur	Single	1	24-04-2024
CUST10023	Divyansh Chauhan	bhaminiben@hotmail.com	Not Disclosed	50	Bangalore	Married	1	05-06-2021
CUST10024	Dishani Krish	manjari64@brar.com	Male	48	Chennai	Married	3	26-03-2022
CUST10025	Shayak Kala	pari16@gera.net	Female	49	Chennai	Widowed	1	10-01-2024
CUST10026	Chirag Seshadri	bhavsarjayan@luthra.com	Not Disclosed	52	Lucknow	Divorced	1	20-08-2022
CUST10027	Kismat Kulkarni	shayak51@yahoo.com	Male	69	Hyderabad	Married	1	21-10-2023
CUST10028	Himmat Mann	arnav61@verma-subramaniam.com	Male	73	Delhi	Divorced	0	29-07-2021
CUST10029	Shlok Bhandari	mangalira@gmail.com	Not Disclosed	22	Delhi	Single	1	06-02-2024
CUST10030	Priyansh Gopal	karnikraghav@gmail.com	Female	33	Ahmedabad	Single	2	25-12-2022
CUST10031	Ritvik Ahuja	jhaverifarhan@chandra.org	Male	40	Ahmedabad	Single	0	03-12-2023
CUST10032	Farhan Kar	indranilsharaf@kalla.net	Female	51	Bangalore	Divorced	2	14-05-2022
CUST10033	Ira Date	divyansh35@gmail.com	Female	47	Chennai	Widowed	1	10-06-2024
CUST10034	Vedika Divan	uhayre@yahoo.com	Male	37	Kolkata	Divorced	1	09-09-2020
CUST10035	Samar Rama	dassmadhav@hotmail.com	Male	34	Delhi	Divorced	3	03-11-2020
CUST10036	Nitara Gokhale	hrishitachawla@yahoo.com	Not Disclosed	31	Lucknow	Widowed	2	19-11-2023
CUST10037	Taran Baria	shettyalia@gmail.com	Male	32	Mumbai	Widowed	0	03-06-2021
CUST10038	Manikya Hayer	gadekabir@yahoo.com	Not Disclosed	28	Pune	Widowed	1	07-05-2023
CUST10039	Nirvaan Ganesh	dasmadhup@swamy.biz	Male	58	Jaipur	Widowed	0	12-12-2023
CUST10040	Ishita Vig	aptemyra@dhillon.info	Not Disclosed	19	Kolkata	Divorced	2	18-11-2020
CUST10041	Divyansh Krishna	kumarnitya@gmail.com	Female	21	Ahmedabad	Married	4	27-07-2022
CUST10042	Hridaan Tara	emir89@yahoo.com	Male	37	Delhi	Single	1	03-05-2021
CUST10043	Hridaan Mahajan	misha83@doctor.net	Female	65	Bangalore	Widowed	1	10-02-2021
CUST10044	Riya Venkataraman	vanya17@maharaj-dass.net	Male	18	Jaipur	Single	1	31-03-2021
CUST10045	Aayush Hora	pranaykibe@gmail.com	Male	75	Lucknow	Widowed	0	11-06-2022
CUST10046	Kaira Andra	kavya29@biswas.com	Not Disclosed	57	Jaipur	Single	1	12-12-2023
CUST10047	Jayant Ramesh	aradhyaaggarwal@lalla.net	Female	24	Hyderabad	Widowed	1	07-04-2022
CUST10048	Piya Reddy	sakshamkota@khatri.biz	Female	24	Kolkata	Divorced	1	16-05-2024
CUST10049	Neelofar Choudhary	singhdiya@vyas.net	Male	38	Lucknow	Widowed	3	03-01-2022
CUST10050	Sahil Dixit	ivan79@gmail.com	Male	28	Hyderabad	Divorced	2	31-10-2023
CUST10051	Mahika Kurian	indransdass@yahoo.com	Not Disclosed	68	Bangalore	Divorced	1	20-03-2024
CUST10052	Bhamini Sangha	veer82@hotmail.com	Female	61	Delhi	Widowed	3	02-07-2021
CUST10053	Eshani Bath	deolsara@gmail.com	Female	74	Jaipur	Widowed	2	05-09-2023
CUST10054	Ahana  Varghese	bsuresh@butala-gaba.info	Not Disclosed	33	Delhi	Single	0	02-03-2021
CUST10055	Lakshit Bhasin	qbhargava@yahoo.com	Male	28	Jaipur	Married	0	10-02-2021
